iter	Passed	Remaining
0	1	187
1	3	192
2	6	196
3	7	172
4	8	162
5	9	155
6	11	151
7	12	148
8	14	145
9	15	141
10	17	137
11	18	134
12	20	136
13	21	134
14	23	132
15	24	128
16	25	125
17	26	122
18	28	120
19	29	117
20	30	115
21	32	114
22	34	116
23	36	114
24	37	112
25	39	111
26	40	110
27	42	108
28	43	106
29	44	104
30	46	103
31	49	106
32	51	104
33	52	102
34	54	101
35	56	100
36	58	99
37	59	97
38	61	95
39	63	95
40	65	93
41	65	90
42	67	89
43	69	87
44	70	86
45	72	84
46	73	82
47	75	81
48	78	81
49	79	79
50	80	77
51	82	75
52	83	74
53	85	72
54	85	70
55	86	68
56	88	66
57	89	64
58	92	64
59	93	62
60	95	60
61	96	58
62	97	57
63	98	55
64	99	53
65	101	52
66	102	50
67	103	48
68	105	47
69	107	46
70	108	44
71	110	42
72	112	41
73	113	39
74	114	38
75	116	36
76	117	35
77	121	34
78	123	32
79	126	31
80	128	30
81	130	28
82	132	27
83	139	26
84	142	25
85	144	23
86	146	21
87	149	20
88	151	18
89	153	17
90	156	15
91	160	13
92	161	12
93	163	10
94	164	8
95	165	6
96	167	5
97	168	3
98	169	1
99	172	0
