iter	Passed	Remaining
0	1	1388
1	5	2543
2	6	2156
3	8	2028
4	9	1910
5	10	1791
6	11	1698
7	13	1621
8	14	1564
9	15	1549
10	19	1734
11	20	1689
12	22	1717
13	24	1701
14	25	1664
15	26	1627
16	27	1597
17	28	1573
18	30	1550
19	32	1605
20	34	1612
21	35	1588
22	36	1566
23	38	1547
24	39	1528
25	40	1514
26	41	1498
27	42	1490
28	44	1483
29	47	1550
30	49	1550
31	50	1539
32	52	1527
33	53	1520
34	54	1511
35	56	1515
36	59	1548
37	68	1730
38	72	1791
39	74	1789
40	79	1860
41	80	1847
42	82	1832
43	83	1821
44	85	1808
45	86	1792
46	87	1777
47	89	1772
48	92	1787
49	93	1779
50	95	1767
51	96	1756
52	97	1744
53	99	1742
54	100	1729
55	101	1716
56	103	1704
57	104	1700
58	107	1712
59	108	1701
60	109	1690
61	110	1679
62	112	1669
63	113	1664
64	115	1663
65	116	1655
66	118	1645
67	122	1674
68	123	1669
69	125	1661
70	126	1658
71	127	1649
72	129	1641
73	130	1633
74	131	1627
75	135	1651
76	137	1651
77	139	1651
78	141	1652
79	143	1646
80	144	1637
81	145	1629
82	146	1614
83	149	1624
84	151	1628
85	154	1637
86	155	1632
87	156	1626
88	171	1759
89	188	1903
90	189	1892
91	190	1882
92	199	1945
93	202	1948
94	203	1940
95	205	1932
96	206	1923
97	210	1935
98	219	1998
99	221	1991
100	225	2011
101	227	2002
102	229	1994
103	231	1998
104	235	2009
105	237	2006
106	239	1997
107	240	1988
108	243	1986
109	246	1992
110	251	2014
111	253	2006
112	254	1995
113	255	1984
114	256	1975
115	260	1988
116	262	1978
117	263	1970
118	265	1961
119	267	1958
120	268	1949
121	269	1938
122	280	1997
123	281	1989
124	283	1981
125	284	1974
126	285	1963
127	294	2005
128	296	2003
129	297	1993
130	299	1985
131	300	1976
132	302	1969
133	306	1982
134	308	1974
135	309	1965
136	310	1957
137	312	1950
138	314	1946
139	322	1980
140	324	1978
141	325	1967
142	327	1964
143	329	1959
144	333	1965
145	334	1957
146	336	1949
147	338	1946
148	339	1938
149	340	1930
150	341	1922
151	343	1917
152	348	1928
153	357	1965
154	363	1980
155	364	1974
156	366	1967
157	367	1960
158	373	1974
159	374	1967
160	375	1958
161	377	1951
162	378	1943
163	379	1934
164	380	1927
165	385	1937
166	391	1950
167	394	1953
168	396	1949
169	398	1945
170	399	1939
171	404	1944
172	408	1954
173	410	1947
174	411	1940
175	413	1933
176	414	1929
177	419	1937
178	420	1930
179	422	1924
180	423	1917
181	425	1912
182	426	1905
183	428	1898
184	432	1905
185	433	1899
186	435	1892
187	436	1885
188	438	1880
189	439	1873
190	440	1867
191	442	1861
192	443	1853
193	448	1862
194	449	1855
195	450	1849
196	453	1849
197	455	1843
198	456	1836
199	457	1830
200	461	1835
201	463	1830
202	464	1825
203	466	1820
204	467	1814
205	469	1808
206	470	1802
207	471	1796
208	475	1798
209	476	1793
210	478	1789
211	480	1784
212	481	1779
213	483	1774
214	484	1768
215	485	1762
216	486	1756
217	490	1760
218	492	1755
219	493	1750
220	499	1759
221	500	1753
222	501	1747
223	504	1747
224	505	1742
225	507	1738
226	508	1733
227	510	1727
228	511	1721
229	516	1728
230	520	1732
231	521	1727
232	522	1721
233	524	1716
234	526	1713
235	527	1708
236	528	1702
237	530	1697
238	534	1702
239	536	1698
240	538	1696
241	540	1692
242	541	1687
243	542	1682
244	546	1682
245	552	1694
246	555	1693
247	557	1690
248	559	1686
249	564	1694
250	571	1706
251	573	1702
252	575	1698
253	577	1695
254	578	1691
255	580	1687
256	582	1682
257	592	1704
258	594	1700
259	595	1696
260	597	1690
261	598	1686
262	600	1681
263	610	1701
264	614	1704
265	615	1699
266	617	1694
267	621	1698
268	623	1693
269	624	1688
270	630	1695
271	632	1692
272	637	1697
273	638	1692
274	640	1687
275	641	1682
276	642	1677
277	647	1680
278	651	1684
279	654	1682
280	658	1685
281	660	1681
282	664	1683
283	666	1679
284	667	1674
285	668	1669
286	674	1676
287	676	1672
288	680	1674
289	681	1669
290	683	1664
291	684	1659
